Date;Action;Message;Crypto ValueETH
1712479382;Update;;199.89609999999998990460881032049655914306640625
1712479384;Update;;199.89609999999998990460881032049655914306640625
1712479386;Update;;199.89609999999998990460881032049655914306640625
1712479388;Update;;199.892500000000012505552149377763271331787109375
1712479390;Update;;199.892500000000012505552149377763271331787109375
1712479392;Update;;199.892500000000012505552149377763271331787109375
1712479394;Update;;199.90059999999999718056642450392246246337890625
1712479396;Update;;199.90059999999999718056642450392246246337890625
1712479398;Update;;199.900900000000007139533408917486667633056640625
1712479400;Update;;199.900900000000007139533408917486667633056640625
1712479402;Update;;199.900900000000007139533408917486667633056640625
1712479404;Update;;199.900000000000005684341886080801486968994140625
1712479406;Update;;199.900000000000005684341886080801486968994140625
1712479408;Update;;199.900000000000005684341886080801486968994140625
1712479410;Update;;199.908400000000000318323145620524883270263671875
1712479412;Update;;199.908400000000000318323145620524883270263671875
1712479414;Update;;199.900000000000005684341886080801486968994140625
1712479416;Update;;199.900000000000005684341886080801486968994140625
1712479418;Update;;199.900000000000005684341886080801486968994140625
1712479420;Update;;199.904799999999994497557054273784160614013671875
1712479422;Update;;199.904799999999994497557054273784160614013671875
1712479424;Update;;199.904799999999994497557054273784160614013671875
1712479429;Update;;199.89699999999999135980033315718173980712890625
1712479429;Update;;199.89699999999999135980033315718173980712890625
1712479430;Update;;199.89699999999999135980033315718173980712890625
1712479432;Update;;199.9279999999999972715158946812152862548828125
1712479434;Update;;199.9279999999999972715158946812152862548828125
1712479436;Update;;199.924200000000013233147910796105861663818359375
1712479438;Update;;199.924200000000013233147910796105861663818359375
1712479440;Update;;199.924200000000013233147910796105861663818359375
1712479442;Update;;199.919700000000005957190296612679958343505859375
1712479444;Update;;199.919700000000005957190296612679958343505859375
1712479446;Update;;199.919700000000005957190296612679958343505859375
1712479448;Update;;199.924200000000013233147910796105861663818359375
1712479450;Update;;199.924200000000013233147910796105861663818359375
1712479452;Update;;199.919700000000005957190296612679958343505859375
1712479454;Update;;199.919700000000005957190296612679958343505859375
1712479456;Update;;199.919700000000005957190296612679958343505859375
1712479458;Update;;199.930200000000013460521586239337921142578125
1712479460;Update;;199.930200000000013460521586239337921142578125
1712479462;Update;;199.930200000000013460521586239337921142578125
1712479464;Update;;199.919700000000005957190296612679958343505859375
1712479466;Update;;199.919700000000005957190296612679958343505859375
1712479468;Update;;199.90059999999999718056642450392246246337890625
1712479470;Update;;199.90059999999999718056642450392246246337890625
1712479472;Update;;199.90059999999999718056642450392246246337890625
1712479474;Update;;199.92869999999999208739609457552433013916015625
1712479476;Update;;199.92869999999999208739609457552433013916015625
1712479478;Update;;199.92869999999999208739609457552433013916015625
1712479480;Update;;199.901199999999988676790962927043437957763671875
1712479482;Update;;199.901199999999988676790962927043437957763671875
1712479484;Update;;199.901199999999988676790962927043437957763671875
1712479486;Update;;199.91820000000001300577423535287380218505859375
1712479488;Update;;199.91820000000001300577423535287380218505859375
1712479490;Update;;199.91550000000000864019966684281826019287109375
1712479492;Update;;199.91550000000000864019966684281826019287109375
1712479494;Update;;199.91550000000000864019966684281826019287109375
1712479496;Update;;199.91550000000000864019966684281826019287109375
1712479498;Update;;199.91550000000000864019966684281826019287109375
1712479500;Update;;199.91550000000000864019966684281826019287109375
1712479502;Update;;199.9107999999999947249307297170162200927734375
1712479504;Update;;199.9107999999999947249307297170162200927734375
1712479506;Update;;199.90059999999999718056642450392246246337890625
1712479508;Update;;199.90059999999999718056642450392246246337890625
1712479510;Update;;199.90059999999999718056642450392246246337890625
1712479512;Update;;199.91460000000000718500814400613307952880859375
1712479514;Update;;199.91460000000000718500814400613307952880859375
1712479516;Update;;199.91460000000000718500814400613307952880859375
1712479518;Update;;199.928599999999988767740433104336261749267578125
1712479520;Update;;199.928599999999988767740433104336261749267578125
1712479522;Update;;199.916699999999991632648743689060211181640625
1712479524;Update;;199.916699999999991632648743689060211181640625
1712479526;Update;;199.916699999999991632648743689060211181640625
1712479528;Update;;199.946200000000004592948243953287601470947265625
1712479530;Update;;199.946200000000004592948243953287601470947265625
1712479532;Update;;199.946200000000004592948243953287601470947265625
1712479534;Update;;199.936299999999988585841492749750614166259765625
1712479536;Update;;199.936299999999988585841492749750614166259765625
1712479538;Update;;199.936299999999988585841492749750614166259765625
1712479540;Update;;199.94139999999998735802364535629749298095703125
1712479542;Update;;199.94139999999998735802364535629749298095703125
1712479544;Update;;199.94229999999998881321516819298267364501953125
1712479549;Update;;199.932199999999994588506524451076984405517578125
1712479549;Update;;199.94229999999998881321516819298267364501953125
1712479550;Update;;199.932199999999994588506524451076984405517578125
1712479552;Update;;199.932199999999994588506524451076984405517578125
1712479554;Update;;199.932199999999994588506524451076984405517578125
1712479556;Update;;199.919700000000005957190296612679958343505859375
1712479558;Update;;199.919700000000005957190296612679958343505859375
1712479560;Update;;199.916699999999991632648743689060211181640625
1712479562;Update;;199.916699999999991632648743689060211181640625
1712479564;Update;;199.916699999999991632648743689060211181640625
1712479566;Update;;199.914299999999997226041159592568874359130859375
1712479568;Update;;199.914299999999997226041159592568874359130859375
1712479570;Update;;199.914299999999997226041159592568874359130859375
1712479572;Update;;199.916699999999991632648743689060211181640625
1712479574;Update;;199.916699999999991632648743689060211181640625
1712479576;Update;;199.916699999999991632648743689060211181640625
1712479578;Update;;199.913800000000009049472282640635967254638671875
1712479580;Update;;199.913800000000009049472282640635967254638671875
1712479582;Update;;199.9089999999999918145476840436458587646484375
1712479584;Update;;199.9089999999999918145476840436458587646484375
1712479586;Update;;199.9089999999999918145476840436458587646484375
1712479588;Update;;199.9053999999999859937815926969051361083984375
1712479590;Update;;199.9053999999999859937815926969051361083984375
1712479592;Update;;199.9053999999999859937815926969051361083984375
1712479594;Update;;199.9080999999999903593561612069606781005859375
1712479596;Update;;199.9080999999999903593561612069606781005859375
1712479598;Update;;199.883299999999991314325598068535327911376953125
1712479600;Update;;199.883299999999991314325598068535327911376953125
1712479602;Update;;199.883299999999991314325598068535327911376953125
1712479604;Update;;199.8722999999999956344254314899444580078125
1712479606;Update;;199.8722999999999956344254314899444580078125
1712479608;Update;;199.8722999999999956344254314899444580078125
1712479610;Update;;199.825500000000005229594535194337368011474609375
1712479612;Update;;199.825500000000005229594535194337368011474609375
1712479614;Update;;199.84579999999999699866748414933681488037109375
1712479616;Update;;199.84579999999999699866748414933681488037109375
1712479618;Update;;199.84579999999999699866748414933681488037109375
1712479620;Update;;199.846100000000006957634468562901020050048828125
1712479622;Update;;199.846100000000006957634468562901020050048828125
1712479624;Update;;199.846100000000006957634468562901020050048828125
1712479626;Update;;199.86119999999999663486960344016551971435546875
1712479628;Update;;199.86119999999999663486960344016551971435546875
1712479630;Update;;199.86119999999999663486960344016551971435546875
1712479632;Update;;199.890399999999999636202119290828704833984375
1712479634;Update;;199.890399999999999636202119290828704833984375
1712479636;Update;;199.880799999999993588062352500855922698974609375
1712479638;Update;;199.880799999999993588062352500855922698974609375
1712479640;Update;;199.880799999999993588062352500855922698974609375
1712479642;Update;;199.886799999999993815436027944087982177734375
1712479644;Update;;199.886799999999993815436027944087982177734375
1712479646;Update;;199.886799999999993815436027944087982177734375
1712479648;Update;;199.893699999999995498001226224005222320556640625
1712479650;Update;;199.893699999999995498001226224005222320556640625
1712479652;Update;;199.8944999999999936335370875895023345947265625
1712479654;Update;;199.8944999999999936335370875895023345947265625
1712479656;Update;;199.8944999999999936335370875895023345947265625
1712479658;Update;;199.88380000000000791260390542447566986083984375
1712479660;Update;;199.88380000000000791260390542447566986083984375
1712479662;Update;;199.88380000000000791260390542447566986083984375
1712479664;Update;;199.890299999999996316546457819640636444091796875
1712479669;Update;;199.890299999999996316546457819640636444091796875
1712479670;Update;;199.88560000000001082298695109784603118896484375
1712479670;Update;;199.88560000000001082298695109784603118896484375
1712479672;Update;;199.88560000000001082298695109784603118896484375
1712479674;Update;;199.892099999999999226929503493010997772216796875
1712479676;Update;;199.892099999999999226929503493010997772216796875
1712479678;Update;;199.892099999999999226929503493010997772216796875
1712479680;Update;;199.890299999999996316546457819640636444091796875
1712479682;Update;;199.890299999999996316546457819640636444091796875
1712479684;Update;;199.890299999999996316546457819640636444091796875
1712479686;Update;;199.898699999999990950527717359364032745361328125
1712479688;Update;;199.898699999999990950527717359364032745361328125
1712479690;Update;;199.898699999999990950527717359364032745361328125
1712479692;Update;;199.898699999999990950527717359364032745361328125
1712479694;Update;;199.898699999999990950527717359364032745361328125
1712479696;Update;;199.895700000000005047695594839751720428466796875
1712479698;Update;;199.895700000000005047695594839751720428466796875
1712479700;Update;;199.895700000000005047695594839751720428466796875
1712479702;Update;;199.946400000000011232259566895663738250732421875
1712479704;Update;;199.946400000000011232259566895663738250732421875
1712479706;Update;;199.91059999999998808561940677464008331298828125
1712479708;Update;;199.91059999999998808561940677464008331298828125
1712479710;Update;;199.91059999999998808561940677464008331298828125
1712479712;Update;;199.9678000000000110958353616297245025634765625
1712479714;Update;;199.9678000000000110958353616297245025634765625
1712479716;Update;;199.9678000000000110958353616297245025634765625
1712479718;Update;;199.913600000000002410160959698259830474853515625
1712479720;Update;;199.913600000000002410160959698259830474853515625
1712479722;Update;;199.913600000000002410160959698259830474853515625
1712479724;Update;;199.89420000000001209627953357994556427001953125
1712479726;Update;;199.89420000000001209627953357994556427001953125
1712479728;Update;;199.89510000000001355147105641663074493408203125
1712479730;Update;;199.89510000000001355147105641663074493408203125
1712479732;Update;;199.89510000000001355147105641663074493408203125
1712479734;Update;;199.938299999999998135535861365497112274169921875
1712479736;Update;;199.938299999999998135535861365497112274169921875
1712479738;Update;;199.938299999999998135535861365497112274169921875
1712479740;Update;;199.950500000000005229594535194337368011474609375
1712479742;Update;;199.950500000000005229594535194337368011474609375
1712479744;Update;;199.946400000000011232259566895663738250732421875
1712479746;Update;;199.946400000000011232259566895663738250732421875
1712479748;Update;;199.946400000000011232259566895663738250732421875
1712479750;Update;;199.962700000000012323653209023177623748779296875
1712479752;Update;;199.962700000000012323653209023177623748779296875
1712479754;Update;;199.962700000000012323653209023177623748779296875
1712479756;Update;;199.9642000000000052750692702829837799072265625
1712479758;Update;;199.9642000000000052750692702829837799072265625
1712479760;Update;;199.967999999999989313437254168093204498291015625
1712479762;Update;;199.967999999999989313437254168093204498291015625
1712479764;Update;;199.967999999999989313437254168093204498291015625
1712479766;Update;;199.97300000000001318767317570745944976806640625
1712479768;Update;;199.97300000000001318767317570745944976806640625
1712479770;Update;;199.97300000000001318767317570745944976806640625
1712479772;Update;;199.96530000000001336957211606204509735107421875
1712479774;Update;;199.96530000000001336957211606204509735107421875
1712479776;Update;;199.96530000000001336957211606204509735107421875
1712479778;Update;;199.9759999999999990905052982270717620849609375
1712479780;Update;;199.9759999999999990905052982270717620849609375
1712479782;Update;;199.9759999999999990905052982270717620849609375
1712479784;Update;;199.9759999999999990905052982270717620849609375
1712479789;Update;;199.9759999999999990905052982270717620849609375
1712479790;Update;;199.98759999999998626663000322878360748291015625
1712479790;Update;;199.98759999999998626663000322878360748291015625
1712479792;Update;;199.98759999999998626663000322878360748291015625
1712479794;Update;;199.988200000000006184563972055912017822265625
1712479796;Update;;199.988200000000006184563972055912017822265625
1712479798;Update;;199.989100000000007639755494892597198486328125
1712479800;Update;;199.989100000000007639755494892597198486328125
1712479802;Update;;199.989100000000007639755494892597198486328125
1712479804;Update;;199.989100000000007639755494892597198486328125
1712479806;Update;;199.989100000000007639755494892597198486328125
1712479808;Update;;199.989100000000007639755494892597198486328125
1712479810;Update;;199.99799999999999045030563138425350189208984375
1712479812;Update;;199.99799999999999045030563138425350189208984375
1712479814;Update;;199.99799999999999045030563138425350189208984375
1712479816;Update;;199.9986000000000103682396002113819122314453125
1712479818;Update;;199.9986000000000103682396002113819122314453125
1712479820;Update;;199.989100000000007639755494892597198486328125
1712479822;Update;;199.989100000000007639755494892597198486328125
1712479824;Update;;199.989100000000007639755494892597198486328125
1712479826;Update;;199.96170000000000754880602471530437469482421875
1712479828;Update;;199.96170000000000754880602471530437469482421875
1712479830;Update;;199.96170000000000754880602471530437469482421875
1712479832;Update;;199.941699999999997316990629769861698150634765625
1712479834;Update;;199.941699999999997316990629769861698150634765625
1712479836;Update;;199.950299999999998590283212251961231231689453125
1712479838;Update;;199.950299999999998590283212251961231231689453125
1712479840;Update;;199.950299999999998590283212251961231231689453125
1712479842;Update;;199.941699999999997316990629769861698150634765625
1712479844;Update;;199.941699999999997316990629769861698150634765625
1712479846;Update;;199.941699999999997316990629769861698150634765625
1712479848;Update;;199.94319999999999026840669102966785430908203125
1712479850;Update;;199.94319999999999026840669102966785430908203125
1712479852;Update;;199.947100000000006048139766789972782135009765625
1712479854;Update;;199.947100000000006048139766789972782135009765625
1712479856;Update;;199.947100000000006048139766789972782135009765625
1712479858;Update;;199.9560999999999921783455647528171539306640625
1712479860;Update;;199.9560999999999921783455647528171539306640625
1712479862;Update;;199.9560999999999921783455647528171539306640625
1712479864;Update;;199.958200000000005047695594839751720428466796875
1712479866;Update;;199.958200000000005047695594839751720428466796875
1712479868;Update;;199.958200000000005047695594839751720428466796875
1712479870;Update;;199.945099999999996498445398174226284027099609375
1712479872;Update;;199.945099999999996498445398174226284027099609375
1712479874;Update;;199.94630000000000791260390542447566986083984375
1712479876;Update;;199.94630000000000791260390542447566986083984375
1712479878;Update;;199.94630000000000791260390542447566986083984375
1712479880;Update;;199.9524999999999863575794734060764312744140625
1712479882;Update;;199.9524999999999863575794734060764312744140625
1712479884;Update;;199.9524999999999863575794734060764312744140625
1712479886;Update;;199.9080999999999903593561612069606781005859375
1712479888;Update;;199.9080999999999903593561612069606781005859375
1712479890;Update;;199.856899999999995998223312199115753173828125
1712479892;Update;;199.856899999999995998223312199115753173828125
1712479894;Update;;199.856899999999995998223312199115753173828125
1712479896;Update;;199.847900000000009868017514236271381378173828125
1712479898;Update;;199.847900000000009868017514236271381378173828125
1712479900;Update;;199.847900000000009868017514236271381378173828125
1712479902;Update;;199.844999999999998863131622783839702606201171875
1712479904;Update;;199.844999999999998863131622783839702606201171875
1712479909;Update;;199.66059999999998808561940677464008331298828125
1712479909;Update;;199.844999999999998863131622783839702606201171875
1712479910;Update;;199.66059999999998808561940677464008331298828125
1712479912;Update;;199.654500000000012960299500264227390289306640625
1712479914;Update;;199.654500000000012960299500264227390289306640625
1712479916;Update;;199.654500000000012960299500264227390289306640625
1712479918;Update;;199.65199999999998681232682429254055023193359375
1712479920;Update;;199.65199999999998681232682429254055023193359375
1712479922;Update;;199.65199999999998681232682429254055023193359375
1712479924;Update;;199.66599999999999681676854379475116729736328125
1712479926;Update;;199.66599999999999681676854379475116729736328125
1712479928;Update;;199.673300000000011777956387959420680999755859375
1712479930;Update;;199.673300000000011777956387959420680999755859375
1712479932;Update;;199.673300000000011777956387959420680999755859375
1712479934;Update;;199.716599999999999681676854379475116729736328125
1712479936;Update;;199.716599999999999681676854379475116729736328125
1712479938;Update;;199.716599999999999681676854379475116729736328125
1712479940;Update;;199.6834000000000060026650317013263702392578125
1712479942;Update;;199.6834000000000060026650317013263702392578125
1712479944;Update;;199.71109999999998763087205588817596435546875
1712479946;Update;;199.71109999999998763087205588817596435546875
1712479948;Update;;199.71109999999998763087205588817596435546875
1712479950;Update;;199.742700000000013460521586239337921142578125
1712479952;Update;;199.742700000000013460521586239337921142578125
1712479954;Update;;199.742700000000013460521586239337921142578125
1712479956;Update;;199.751000000000004774847184307873249053955078125
1712479958;Update;;199.751000000000004774847184307873249053955078125
1712479960;Update;;199.751000000000004774847184307873249053955078125
1712479962;Update;;199.73070000000001300577423535287380218505859375
1712479964;Update;;199.73070000000001300577423535287380218505859375
1712479966;Update;;199.74619999999998753992258571088314056396484375
1712479968;Update;;199.74619999999998753992258571088314056396484375
1712479970;Update;;199.74619999999998753992258571088314056396484375
1712479972;Update;;199.748099999999993769961292855441570281982421875
1712479974;Update;;199.748099999999993769961292855441570281982421875
1712479976;Update;;199.748099999999993769961292855441570281982421875
1712479978;Update;;199.748099999999993769961292855441570281982421875
1712479980;Update;;199.748099999999993769961292855441570281982421875
1712479982;Update;;199.749200000000001864464138634502887725830078125
1712479984;Update;;199.749200000000001864464138634502887725830078125
1712479986;Update;;199.749200000000001864464138634502887725830078125
1712479988;Update;;199.76650000000000773070496506989002227783203125
1712479990;Update;;199.76650000000000773070496506989002227783203125
1712479992;Update;;199.76650000000000773070496506989002227783203125
1712479994;Update;;199.76650000000000773070496506989002227783203125
1712479996;Update;;199.76650000000000773070496506989002227783203125
1712479998;Update;;199.76650000000000773070496506989002227783203125
1712480000;Update;;199.767200000000002546585164964199066162109375
1712480002;Update;;199.767200000000002546585164964199066162109375
1712480004;Update;;199.800199999999989586285664699971675872802734375
1712480006;Update;;199.800199999999989586285664699971675872802734375
1712480008;Update;;199.800199999999989586285664699971675872802734375
1712480010;Update;;199.792699999999996407495927996933460235595703125
1712480012;Update;;199.792699999999996407495927996933460235595703125
1712480014;Update;;199.792699999999996407495927996933460235595703125
1712480016;Update;;199.80889999999999417923390865325927734375
1712480018;Update;;199.80889999999999417923390865325927734375
1712480020;Update;;199.808799999999990859578247182071208953857421875
1712480022;Update;;199.808799999999990859578247182071208953857421875
1712480024;Update;;199.808799999999990859578247182071208953857421875
1712480029;Update;;199.829399999999992587618180550634860992431640625
1712480030;Update;;199.829399999999992587618180550634860992431640625
1712480030;Update;;199.829399999999992587618180550634860992431640625
1712480032;Update;;199.820699999999987994669936597347259521484375
1712480034;Update;;199.820699999999987994669936597347259521484375
1712480036;Update;;199.815100000000001045918907038867473602294921875
1712480038;Update;;199.815100000000001045918907038867473602294921875
1712480040;Update;;199.815100000000001045918907038867473602294921875
1712480042;Update;;199.815100000000001045918907038867473602294921875
1712480044;Update;;199.815100000000001045918907038867473602294921875
1712480046;Update;;199.815100000000001045918907038867473602294921875
1712480048;Update;;199.808799999999990859578247182071208953857421875
1712480050;Update;;199.808799999999990859578247182071208953857421875
1712480052;Update;;199.808799999999990859578247182071208953857421875
1712480054;Update;;199.815100000000001045918907038867473602294921875
1712480056;Update;;199.815100000000001045918907038867473602294921875
1712480058;Update;;199.808799999999990859578247182071208953857421875
1712480060;Update;;199.808799999999990859578247182071208953857421875
1712480063;Update;;199.808799999999990859578247182071208953857421875
1712480064;Update;;199.815100000000001045918907038867473602294921875
1712480066;Update;;199.815100000000001045918907038867473602294921875
1712480068;Update;;199.815100000000001045918907038867473602294921875
1712480070;Update;;199.8120999999999867213773541152477264404296875
1712480072;Update;;199.8120999999999867213773541152477264404296875
1712480074;Update;;199.808799999999990859578247182071208953857421875
1712480076;Update;;199.808799999999990859578247182071208953857421875
1712480078;Update;;199.808799999999990859578247182071208953857421875
1712480080;Update;;199.8120999999999867213773541152477264404296875
1712480082;Update;;199.8120999999999867213773541152477264404296875
1712480084;Update;;199.8120999999999867213773541152477264404296875
1712480086;Update;;199.776600000000001955413608811795711517333984375
1712480088;Update;;199.776600000000001955413608811795711517333984375
1712480090;Update;;199.770900000000011687006917782127857208251953125
1712480092;Update;;199.770900000000011687006917782127857208251953125
1712480094;Update;;199.770900000000011687006917782127857208251953125
1712480096;Update;;199.779300000000006320988177321851253509521484375
1712480098;Update;;199.779300000000006320988177321851253509521484375
1712480100;Update;;199.779300000000006320988177321851253509521484375
1712480102;Update;;199.78440000000000509317032992839813232421875
1712480104;Update;;199.78440000000000509317032992839813232421875
1712480106;Update;;199.78440000000000509317032992839813232421875
1712480108;Update;;199.787000000000006139089236967265605926513671875
1712480110;Update;;199.787000000000006139089236967265605926513671875
1712480112;Update;;199.77289999999999281499185599386692047119140625
1712480114;Update;;199.77289999999999281499185599386692047119140625
1712480116;Update;;199.77289999999999281499185599386692047119140625
1712480118;Update;;199.8084000000000060026650317013263702392578125
1712480120;Update;;199.8084000000000060026650317013263702392578125
1712480122;Update;;199.8084000000000060026650317013263702392578125
1712480124;Update;;199.8093000000000074578565545380115509033203125
1712480126;Update;;199.8093000000000074578565545380115509033203125
1712480128;Update;;199.8084000000000060026650317013263702392578125
1712480130;Update;;199.8084000000000060026650317013263702392578125
1712480132;Update;;199.8084000000000060026650317013263702392578125
1712480134;Update;;199.822399999999987585397320799529552459716796875
1712480136;Update;;199.822399999999987585397320799529552459716796875
1712480138;Update;;199.822399999999987585397320799529552459716796875
1712480140;Update;;199.815799999999995861799106933176517486572265625
1712480142;Update;;199.815799999999995861799106933176517486572265625
1712480144;Update;;199.815799999999995861799106933176517486572265625
1712480149;Update;;199.810800000000000409272615797817707061767578125
1712480149;Update;;199.810800000000000409272615797817707061767578125
1712480150;Update;;199.778899999999993042365531437098979949951171875
1712480152;Update;;199.778899999999993042365531437098979949951171875
1712480154;Update;;199.778899999999993042365531437098979949951171875
1712480156;Update;;199.791500000000013415046851150691509246826171875
1712480158;Update;;199.791500000000013415046851150691509246826171875
1712480160;Update;;199.791500000000013415046851150691509246826171875
1712480162;Update;;199.791500000000013415046851150691509246826171875
1712480164;Update;;199.791500000000013415046851150691509246826171875
1712480166;Update;;199.778899999999993042365531437098979949951171875
1712480168;Update;;199.778899999999993042365531437098979949951171875
1712480170;Update;;199.778899999999993042365531437098979949951171875
1712480172;Update;;199.804300000000012005330063402652740478515625
1712480174;Update;;199.804300000000012005330063402652740478515625
1712480176;Update;;199.804300000000012005330063402652740478515625
1712480178;Update;;199.780699999999995952748577110469341278076171875
1712480180;Update;;199.780699999999995952748577110469341278076171875
1712480182;Update;;199.80009999999998626663000322878360748291015625
1712480184;Update;;199.80009999999998626663000322878360748291015625
1712480186;Update;;199.80009999999998626663000322878360748291015625
1712480188;Update;;199.801299999999997680788510479032993316650390625
1712480190;Update;;199.801299999999997680788510479032993316650390625
1712480192;Update;;199.801299999999997680788510479032993316650390625
1712480194;Update;;199.78469999999998663042788393795490264892578125
1712480196;Update;;199.78469999999998663042788393795490264892578125
1712480198;Update;;199.78469999999998663042788393795490264892578125
1712480200;Update;;199.78710000000000945874489843845367431640625
1712480202;Update;;199.78710000000000945874489843845367431640625
1712480204;Update;;199.770299999999991769072948954999446868896484375
1712480206;Update;;199.770299999999991769072948954999446868896484375
1712480208;Update;;199.770299999999991769072948954999446868896484375
1712480210;Update;;199.77629999999999199644662439823150634765625
1712480212;Update;;199.77629999999999199644662439823150634765625
1712480214;Update;;199.77629999999999199644662439823150634765625
1712480216;Update;;199.772099999999994679455994628369808197021484375
1712480218;Update;;199.772099999999994679455994628369808197021484375
1712480220;Update;;199.768200000000007321432349272072315216064453125
1712480222;Update;;199.768200000000007321432349272072315216064453125
1712480224;Update;;199.768200000000007321432349272072315216064453125
1712480226;Update;;199.768200000000007321432349272072315216064453125
1712480228;Update;;199.768200000000007321432349272072315216064453125
1712480230;Update;;199.768200000000007321432349272072315216064453125
1712480232;Update;;199.773200000000002773958840407431125640869140625
1712480234;Update;;199.773200000000002773958840407431125640869140625
1712480236;Update;;199.773200000000002773958840407431125640869140625
1712480238;Update;;199.7821999999999889041646383702754974365234375
1712480240;Update;;199.7821999999999889041646383702754974365234375
1712480242;Update;;199.818000000000012050804798491299152374267578125
1712480244;Update;;199.818000000000012050804798491299152374267578125
1712480246;Update;;199.818000000000012050804798491299152374267578125
1712480248;Update;;199.809899999999998954081092961132526397705078125
1712480250;Update;;199.809899999999998954081092961132526397705078125
1712480252;Update;;199.809899999999998954081092961132526397705078125
1712480254;Update;;199.8093000000000074578565545380115509033203125
1712480256;Update;;199.8093000000000074578565545380115509033203125
1712480258;Update;;199.801799999999985857357387430965900421142578125
1712480260;Update;;199.801799999999985857357387430965900421142578125
1712480262;Update;;199.801799999999985857357387430965900421142578125
1712480264;Update;;199.8129000000000132786226458847522735595703125
1712480269;Update;;199.8129000000000132786226458847522735595703125
1712480270;Update;;199.8156999999999925421434454619884490966796875
1712480270;Update;;199.8156999999999925421434454619884490966796875
1712480272;Update;;199.8156999999999925421434454619884490966796875
1712480274;Update;;199.7884999999999990905052982270717620849609375
1712480276;Update;;199.7884999999999990905052982270717620849609375
1712480278;Update;;199.7884999999999990905052982270717620849609375
1712480280;Update;;199.791500000000013415046851150691509246826171875
1712480282;Update;;199.791500000000013415046851150691509246826171875
1712480284;Update;;199.791500000000013415046851150691509246826171875
1712480286;Update;;199.790899999999993497112882323563098907470703125
1712480288;Update;;199.790899999999993497112882323563098907470703125
1712480290;Update;;199.790899999999993497112882323563098907470703125
1712480292;Update;;199.795400000000000773070496506989002227783203125
1712480294;Update;;199.795400000000000773070496506989002227783203125
1712480296;Update;;199.81630000000001246007741428911685943603515625
1712480298;Update;;199.81630000000001246007741428911685943603515625
1712480300;Update;;199.81630000000001246007741428911685943603515625
1712480302;Update;;199.795400000000000773070496506989002227783203125
1712480304;Update;;199.795400000000000773070496506989002227783203125
1712480306;Update;;199.795400000000000773070496506989002227783203125
1712480308;Update;;199.80279999999999063220457173883914947509765625
1712480310;Update;;199.80279999999999063220457173883914947509765625
1712480312;Update;;199.801600000000007639755494892597198486328125
1712480314;Update;;199.801600000000007639755494892597198486328125
1712480316;Update;;199.801600000000007639755494892597198486328125
1712480318;Update;;199.8120000000000118234311230480670928955078125
1712480320;Update;;199.8120000000000118234311230480670928955078125
1712480322;Update;;199.8120000000000118234311230480670928955078125
1712480324;Update;;199.785200000000003228706191293895244598388671875
1712480326;Update;;199.785200000000003228706191293895244598388671875
1712480328;Update;;199.785200000000003228706191293895244598388671875
1712480330;Update;;199.799499999999994770405464805662631988525390625
1712480332;Update;;199.799499999999994770405464805662631988525390625
1712480334;Update;;199.76699999999999590727384202182292938232421875
